code,desc,case_size,bulk_code,micro ,carton,category,line,gr_wt,nt_wt,plant,line_bulk,des_code
FB47318100EX,Lucky Anti Cavity TPST 181g-6.4oz+TBR,24,BB473,1,1,Pvt Label,Toothpaste Line,0.248,181,1024,,BB473181
FB47512200EX,Lucky Sup Sft Sensitive TPST 122g-4.3oz,24,BB475,1,1,Pvt Label,Toothpaste Line,0.167,122,1024,,BB475122
FB26915000RU,Ayurvedic Tooth Paste 150gm Neem–Russia,72,BB269,1,1,IBD,Toothpaste Line,0.185,150,1024,,BB269150
FB83501200EX,Forhans Smalto Toothpaste 12.5 ML,432,BB835,1,1,Pvt Label,Toothpaste Line,0.026,16.63,1024,,BB83516.63
FC22102000EX,New Dabur Herb'l TPST -Neem 20 gm,432,BC221,1,1,IBD,Toothpaste Line,0.023,20,1024,,BC22120
FC22302000EX,New Dabur Herb'l TPST -Clove 20gm,432,BC223,1,1,IBD,Toothpaste Line,0.024,20,1024,,BC22320
FC22401700EX,New Dabur Herb'l TPST - Whitening 17gm,432,BC224,1,1,IBD,Toothpaste Line,0.02,17,1024,,BC22417
FB37711300EX,Iodent Sensitive TP Fresh Mint 4oz 113g,24,BB377,1,1,Pvt Label,Toothpaste Line,0.15,113,1024,,BB377113
FB37811300EX,Iodent SensitiveTPExtra Whitening4oz113g,24,BB378,1,1,Pvt Label,Toothpaste Line,0.15,113,1024,,BB378113
FB23005001MN,Meswak Toothpaste 50gms + 25 gms CP - MN,144,BB230,1,1,IBD,Toothpaste Line,0.093,75,1024,,BB23075
FB23010001MN,Meswak Toothpaste 100gm + 50 gm CP- MN,72,BB230,1,1,IBD,Toothpaste Line,0.181,150,1024,,BB230150
FM04715000EX,Fem USA In Shower HRC - Aloe Vera 150ml,96,BM047,0,1,IBD,HRC tube,0.233,159,1025,,BM047159
FM05815000EX,Fem USA In Shower HRC - Rose 150ml,96,BM058,0,1,IBD,HRC tube,0.233,159,1025,,BM058159
FB50012500EX,365 Fluoride Toothpaste 125ml,72,BB500,1,0,Pvt Label,Toothpaste Line,0.181,152.5,1024,,BB500152.5
FB46504000EX,Dr.Max Smile Denture Adhesive 40g,72,BB465,1,1,Pvt Label,HRC tube,0.069,40,1025,,BB46540
FM04912001TR,Fem USA HRC AloeVera 120g+ Bal lot CP-TR,48,BM049,0,1,IBD,HRC tube,0.182,120,1025,,BM049120
FB13850001SL,Sanifresh 500ml with Odonil 50gm (CP)-SL,24,BB138,0,0,IBD,Sanifresh line,0.65,530,1025,,BB138530
FB23001700FR,Meswak Toothpaste 17g (FR),480,BB230,1,0,Pvt Label,Toothpaste Line,0.023,17,1024,,BB23017
FB43002400EX,Freshmint kids FF BG TP 24gm (.85 oz),144,BB430,1,0,Pvt Label,Toothpaste Line,0.033,24,1024,,BB43024
FB21750000EX,Promise Mouthwash 500 ML,24,BB217,1,0,Pvt Label,Mouthwash line,0.602,525,1024,,BB217525
FC23102000GC,Dabur Herbal TPST Anti Ageing - 20gm,432,BC231,1,1,IBD,Toothpaste Line,0.028,20,1024,,BC23120
FB13850000SL,Sanifres U.Shin Liq toiletclean 500ml-SL,24,BB138,0,0,IBD,Sanifresh line,0.617,530,1025,,BB138530
FB35210000EX,Derlon Tandpasta Softmint 100ml,72,BB352,1,0,Pvt Label,Toothpaste Line,0.158,122,1024,,BB352122
FB35110000EX,Derlon Tandpasta Coolmint 100ml,72,BB351,1,0,Pvt Label,Toothpaste Line,0.158,122,1024,,BB351122
FB15007500BD,Odonil Blocks 75gm Mix- Bangladesh,96,BB152,0,1,IBD,Odonil line,0.09,75,1025,,BB15275
FB15005000BD,Odonil Blocks 50gm Mix- Bangladesh,144,BB152,0,1,IBD,Odonil line,0.056,50,1025,,BB15250
FB36807500EX,Levevis Tandpasta (Asthma TPST) 75 ml,72,BB368,1,0,Pvt Label,Toothpaste Line,0.131,102,1024,,BB368102
FB230200,Meswak Toothpaste 200gms (36 c/s pack),36,BB230,1,1,IBD,Toothpaste Line,0.24,200,1024,,BB230200
FB46805000EX,DX Dental Denture Adhesive 50ml,72,BB468,1,1,Pvt Label,HRC tube,0.084,55,1025,,BB46855
FB39102800EX,Freshmint Prem Anticavity Gel TPST 28G,144,BB391,1,0,Pvt Label,Toothpaste Line,0.036,28,1024,,BB39128
FB39108500EX,Freshmint Prem Anticavity Gel TPST 85G,72,BB391,1,0,Pvt Label,Toothpaste Line,0.104,85,1024,,BB39185
FC23720000UC,Dabur HerbalTPST forTeeth&Gums200g-Us-Ca,36,BC237,1,1,IBD,Toothpaste Line,0.25,200,1024,,BC237200
FB33901900EX,Auromere TPST  - Mint 12.5ml - 19.5g,432,BB339,1,0,Pvt Label,Toothpaste Line,0.027,19.5,1024,,BB33919.5
FM01102500GC,Fem USA Apple&Peach F.CreamBleach25gm-GC,96,BM012,0,1,IBD,Bleach Line,0.063,25,1025,,BM01225
FM038027,Oxylife Natural Radiance5 Cr Bleach 27g,72,BM038,0,1,Domestic,Bleach Line,0.08,27,1025,,BM03827
FB57712500EX,Jumbo Whitening Fl Tpst 125ml,72,BB577,1,0,Pvt Label,Toothpaste Line,0.189,162.5,1024,,BB577162.5
FB57812500EX,Jumbo Sensitive Fl Tpst 125ml,72,BB578,1,0,Pvt Label,Toothpaste Line,0.189,162.5,1024,,BB578162.5
FB50512500EX,Rema 1000 Tandpasta TPST Coolmint- 125ML,72,BB505,1,0,Pvt Label,Toothpaste Line,0.183,152.5,1024,,BB505152.5
FB26820001EX,Promise TPST with Clove (Arabic)200g+TBR,72,BB268,1,1,IBD,Toothpaste Line,0.264,200,1024,,BB268200
FB58505000CZ,Dentamax Children TP- Strawberry 50ML-CZ,72,BB585,1,0,Pvt Label,Toothpaste Line,0.088,66.5,1024,,BB58566.5
FB84207500EX,Kidz Pre Step Tpst 75ml- Water Melon,72,BB842,1,1,Pvt Label,Toothpaste Line,0.138,92.25,1024,,BB84292.25
FB84107500EX,Kidz Pre Step Tpst 75ml- Original Fruity,72,BB841,1,1,Pvt Label,Toothpaste Line,0.138,92.25,1024,,BB84192.25
FB84007500EX,Kidz Pre Step Tpst 75ml- Bubble Gum,72,BB840,1,1,Pvt Label,Toothpaste Line,0.138,92.25,1024,,BB84092.25
FB83707500EX,Forhans Denti Sensibili Advanced TP 75ml,72,BB837,1,1,Pvt Label,Toothpaste Line,0.147,101.25,1024,,BB837101.25
FB83605000EX,Forhans Kids Tpst 50ml- Bubble Gum,72,BB836,1,0,Pvt Label,Toothpaste Line,0.085,65,1024,,BB83665
FB33411700EX,Auromere TPST –Foam Free Mint 75ml- 117g,144,BB334,1,1,Pvt Label,Toothpaste Line,0.156,117,1024,,BB334117
FB33404000EX,Auromere TP- Foam Free Mint (Bulk) 40kg,1,BB334,1,0,Pvt Label,Toothpaste Line,1.055,40000,1024,,BB33440000
FB22820000UC,Meswak Herbal tpst-Dentifrice 200g-US-CA,36,BB228,1,1,IBD,Toothpaste Line,0.23,200,1024,,BB228200
FM05304000MN,Fem USA HRC- Sandal 40gm tube - Myanmar,96,BM053,0,1,IBD,HRC tube,0.074,40,1025,,BM05340
FM06304000MN,Fem USA HRC- Lemon 40gm tube -Myanmar,96,BM063,0,1,IBD,HRC tube,0.074,40,1025,,BM06340
FM06404000MN,Fem USA HRC- Blossom 40gm tube -Myanmar,96,BM064,0,1,IBD,HRC tube,0.074,40,1025,,BM06440
FM05904000MN,Fem USA HRC- Rose 40gm tube -Myanmar,96,BM059,0,1,IBD,HRC tube,0.074,40,1025,,BM05940
FB83007501EX,Denthoral UltraWhite TP 75ml(12’s Inner),72,BB830,1,1,Pvt Label,Toothpaste Line,0.128,91.5,1024,,BB83091.5
FC25005000SL,Dabur Red Paste 50gm (144 C/S Pack)-SL,144,BC250,1,1,IBD,Toothpaste Line,0.06,50,1024,,BC25050
FC25010000SL,Dabur Red Paste 100gm (72 C/S Pack)-SL,72,BC250,1,1,IBD,Toothpaste Line,0.125,100,1024,,BC250100
FC25020000SL,Dabur Red Paste 200gm (36 C/S Pack)-SL,36,BC250,1,1,IBD,Toothpaste Line,0.24,200,1024,,BC250200
FB33311700EX,Auromere Herbal TPST-75ml-117g(Apeiron),72,BB333,1,1,Pvt Label,Toothpaste Line,0.161,117,1024,,BB333117
FM06811000GC,Fem USA Hair Removal Cream- Gold 110gm,48,BM068,0,1,IBD,HRC tube,0.172,110,1025,,BM068110
FM05740J,FEM Antidarkening HRC Rose 40gm Jar,96,BM057,0,1,Domestic,HRC jar,0.088,40,1025,,BM05740
FM05240J,FEM Antidarkening HRC Sandal 40gm Jar,96,BM052,0,1,Domestic,HRC jar,0.088,40,1025,,BM05240
FM057025,FEM Antidarkening HRC Rose 25gm Tube,144,BM057,0,1,IBD,HRC tube,0.058,25,1025,,BM05725
FM052025,FEM Antidarkening HRC Sandal 25gm Tube,144,BM052,0,1,IBD,HRC tube,0.058,25,1025,,BM05225
FB210010,PROMISE 10GM ,576,BB210,1,0,Domestic,Toothpaste Line,0.015,10,1024,,BB21010
FB21001001,PROMISE TOOTHPASTE 10 G (AIR INDIA),576,BB210,1,0,Domestic,Toothpaste Line,0.017,10,1024,,BB21010
FB230010,MESWAK 10 G,576,BB230,1,0,Domestic,Toothpaste Line,0.014,10,1024,,BB23010
FB226010,Meswak 10g,576,BB226,1,0,Domestic,Toothpaste Line,0.014,10,1024,,BB22610
FB230020,Meswak Toothpaste 20gm,576,BB230,1,0,Domestic,Toothpaste Line,0.022,20,1024,,BB23020
FG22603501,Dabur Meswak 35g pack Free with AHO 90ml,216,BB226,1,1,Domestic,Toothpaste Line,0.042,35,1024,,BB22635
FB226C1001,Dabur Meswak 100g CSD Cs 72 Index 4071,72,BB226,1,1,Domestic,Toothpaste Line,0.123,100,1024,,BB226100
FB226C10,Dabur Meswak 100g CSD Index:4071,144,BB226,1,1,Domestic,Toothpaste Line,0.12,100,1024,,BB226100
FB230C10,Meswak T Paste-Green 100g,144,BB230,1,1,Domestic,Toothpaste Line,0.118,100,1024,,BB230100
FB230C1005,Meswak 100gm CSD-Index: 4071 C/s 216,216,BB230,1,1,Domestic,Toothpaste Line,0.15,100,1024,,BB230100
FB230C1003,MESWAK 100 G+ 25% EXTRA,144,BB230,1,1,Domestic,Toothpaste Line,0.149,125,1024,,BB230125
FB230C1004,Meswak 100gm+100gm+Brush Combi-CSD,72,BB230,1,1,Domestic,Toothpaste Line,0.25,200,1024,,BB230200
FB226050,Dabur Meswak 50gm,144,BB226,1,1,Domestic,Toothpaste Line,0.06,50,1024,,BB22650
FB226100,Dabur Meswak 100gm,72,BB226,1,1,Domestic,Toothpaste Line,0.122,100,1024,,BB226100
FB226200,Dabur Meswak 200gm,36,BB226,1,1,Domestic,Toothpaste Line,0.239,200,1024,,BB226200
FC250C50N,Dabur red Paste 50gm CSD Index 4058,144,BC250,1,1,Domestic,Toothpaste Line,0.064,50,1024,,BC25050
FC250C5001,RTP 50g CSD,216,BC250,1,1,Domestic,Toothpaste Line,0.065,50,1024,,BC25050
FC250C5002,RTP 50g CSD  - 432 c/s,432,BC250,1,1,Domestic,Toothpaste Line,0.075,50,1024,,BC25050
FC250C10N,Dabur Red Paste 100gm CSD Index 4005,72,BC250,1,1,Domestic,Toothpaste Line,0.122,100,1024,,BC250100
FC250C1001,RTP 100g CSD,144,BC250,1,1,Domestic,Toothpaste Line,0.124,100,1024,,BC250100
FC250C1002,Dabur Red Paste 100gm-CSD C/s 216,216,BC250,1,1,Domestic,Toothpaste Line,0.12,100,1024,,BC250100
FC250C20N,Dabur Red Paste 200gm CSD Index 4006,36,BC250,1,1,Domestic,Toothpaste Line,0.239,200,1024,,BC250200
FC250C2002,RTP 200g CSD,72,BC250,1,1,Domestic,Toothpaste Line,0.25,200,1024,,BC250200
FC250C2003,Dabur Red Paste 200gm-CSD C/s 108,108,BC250,1,1,Domestic,Toothpaste Line,0.22,200,1024,,BC250200
FC250C3001,RTP Family pack CSD,36,BC250,1,1,Domestic,Toothpaste Line,0.315,300,1024,,BC250300
FB060400,A1 TOILET CUBES 400 GMS,48,BB102,0,1,Domestic,Odonil line,0.427,400,1025,,BB102400
FB060300,A1 Toilet Cubes 300gms,48,BB102,0,1,Domestic,Odonil line,0.35,300,1025,,BB102300
FB10075P,MULTI PIECE 75G,16,BB102,0,1,Domestic,Odonil line,0.94,75,1025,,BB10275
FB10010001,MULTI PIECE 100G,10,BB102,0,1,Domestic,Odonil line,1.079,100,1025,,BB102100
FB100C5001,ODONIL 50 GM (CSD),144,BB151M,0,1,Domestic,Odonil line,0.065,50,1025,,BB151M50
FB100C10,ODONIL 100 GM (CSD),192,BB151M,0,1,Domestic,Odonil line,0.108,100,1025,,BB151M100
FB150C10,Odonil Block 100g Mix CSD Indx:27162 New,72,BB151M,0,1,Domestic,Odonil line,0.117,100,1025,,BB151M100
FG152050  ,Odonil 50 g for Sanifresh Scheme (CSD),144,BB152,0,1,Domestic,Odonil line,0.06,50,1025,,BB15250
FB130C5001,Sanifresh 500ml + Odonil 50g   (CSD),24,BB130,0,0,Domestic,Sanifresh line,0.695,500,1025,,BB130500
FB130C5F,Sanifresh 500ml Forest Dew (CSD),24,BB131,0,0,Domestic,Sanifresh line,0.584,500,1025,,BB131500
FB130C50,Sanifresh ToiletClnr 500ml CSD Ind:27094,24,BB130,0,0,Domestic,Sanifresh line,0.617,530,1025,,BB130530
FB138C50,Sanifresh Ultrashine 500ml Index 27094,24,BB138,0,0,Domestic,Sanifresh line,0.628,530,1025,,BB138530
FB050012,ODOMOS CREAM 12GM ,288,BB051B,1,1,Domestic,Odomos line,0.02,12,1025,,BB051B12
FB050C10,ODOMOS CREAM 100GM (CSD),36,BB051B,1,1,Domestic,Odomos line,0.117,100,1025,,BB051B100
FB05010A,ODOMOS CREAM 100GM (ARMY),144,BB051A,1,1,Domestic,Odomos line,0.127,100,1025,,BB051A100
FB040C12,ODOMOS  LOTION  120 ML,48,BB040,1,1,Domestic,Odomos Lotion line,0.165,120,1025,,BB040120
FM123C01,Fem SoftHandz1Ltr Disp MixCSD-Indx:3403L,12,BM101,0,1,Domestic,Handwash line,1.17,1000,1025,,BM1011000
FM012C52,Fem Bleach A&P 52.8gm - New CSD,144,BM012,0,1,Domestic,Bleach Line,0.12,52.8,1025,,BM01252.8
FM051C40J,Fem DC Hair Remover Chandan40gm Jar-CSD,144,BM051,0,1,Domestic,HRC jar,0.09,40,1025,,BM05140
FM056C40J,Fem DC Hair Rem. Rose 40gm Jar-CSD,144,BM056,0,1,Domestic,HRC jar,0.09,40,1025,,BM05640
FM061C40J,Fem DC Hair Rem. Lemon 40gm Jar-CSD,144,BM061,0,1,Domestic,HRC jar,0.09,40,1025,,BM06140
FM066C40J,Fem DC Hair Rem. Blossom 40gm Jar-CSD,144,BM066,0,1,Domestic,HRC jar,0.09,40,1025,,BM06640
FM051C25,Fem DC Hair Remover Chandan 25gm CSD,288,BM051,0,1,Domestic,HRC tube,0.059,25,1025,,BM05125
FM056C25,Fem DC Hair Remover Rose 25gm CSD,288,BM056,0,1,Domestic,HRC tube,0.059,25,1025,,BM05625
FM061C25,Fem DC Hair Remover Lemon 25gm CSD,288,BM061,0,1,Domestic,HRC tube,0.059,25,1025,,BM06125
FM066C25,Fem DC Hair Remover Blossom 25gm CSD,288,BM066,0,1,Domestic,HRC tube,0.059,25,1025,,BM06625
FI012048,Powder activator-4.8g-FCB A&P New-52.8g,144,BI012,0,0,Domestic,Activator Line,,5,1025,,BI0125
FI011003GC,Pdr Activator-A&P-3g FFCB A & P-25g GC,96,BI012,0,0,IBD,Activator Line,,25,1025,,BI01225
FI012070GC,Powder Activator-7g-FFCB A&P New-50g-GC,72,BI012,0,0,IBD,Activator Line,,50,1025,,BI01250
FI012014GC,Pdr Activator-14g-FFCB A&P New-100g-GC,48,BI012,0,0,IBD,Activator Line,,100,1025,,BI012100
FI022070GC,Powder Activator-7g-FCCB MPB New-50g,72,BI022,0,0,IBD,Activator Line,,50,1025,,BI02250
FI022014GC,Powder Activator-14g-FCCB MPB New-100g,48,BI022,0,0,IBD,Activator Line,,100,1025,,BI022100
FI036003GC,Pdr Activator-3g-Oxy Bleach New-25g GC,72,BI036B,0,0,IBD,Activator Line,,25,1025,,BI036B25
FI03600101GC,Pre Bleech Cream-1.5g-OxyCreamNew-25gGC,72,BI036A,0,0,IBD,Bleach Pouch Line,,25,1025,,BI036A25
FI47600101GC,Herbal Post Bleech Cream-1g-H B-15g-GC,72,BI476B,1,0,IBD,Bleach Pouch Line,,25,1025,,BI476B25
FI476001GC,Herbal Pre Bleech Cream-1g-H B-15g-GC,96,BI476A,1,0,IBD,Bleach Pouch Line,,15,1025,,BI476A15
FI476002GC,Herbal Pdr Activator-2g for H B-15g-GC,96,BI476,0,0,IBD,Activator Line,,15,1025,,BI47615
FM046008,FEM Naturals Saffron Fairness Bl 8 gm,144,BM046,0,1,Domestic,Bleach Line,0.026,8,1025,,BM0468
FM046024,FEM Naturals Saffron Fairness Bl 24 gm,96,BM046,0,1,Domestic,Bleach Line,0.06,24,1025,,BM04624
FM038009,Oxylife Natural Radiance5 Cr Bleach 9g,144,BM038,0,0,Domestic,Bleach Line,0.033,9,1025,,BM0389
FM360025,Fem Antidarkening HRC Turmeric 25gm Tube ,144,BM360,0,1,Domestic,HRC tube,0.061,25,1025,,BM36025
FM362025,FEM Antidarkening HRC Gold 25gm Tube,144,BM362,0,1,Domestic,HRC tube,0.061,25,1025,,BM36225
FG362025,Fem Antidarkening HRC Gold 25gmTube Free,144,BM362,0,1,Domestic,HRC tube,0.063,25,1025,,BM36225
FM36040J,Fem Antidarkening HRC Turmeric 40gm Jar,96,BM360,0,1,Domestic,HRC jar,0.091,40,1025,,BM36040
FM36240J,Fem Antidarkening HRC Gold 40gm Jar,96,BM362,0,1,Domestic,HRC jar,0.091,40,1025,,BM36240
FM05204001,Fem AD.HRC Sandal 40gmTube CP Gulab. 30ml,96,BM052,0,1,Domestic,HRC tube,0.135,40,1025,,BM05240
FM05704001,Fem AD.HRC Rose 40gmTube CP Gulab. 30ml,96,BM057,0,1,Domestic,HRC tube,0.135,40,1025,,BM05740
FM36004001,Fem AD.HRC Turmeric 40gmTube CP Gulab. 30ml,96,BM360,0,1,Domestic,HRC tube,0.135,40,1025,,BM36040
FM36204001,Fem AD.HRC Gold 40gmTube CP Gulab. 30ml,96,BM362,0,1,Domestic,HRC tube,0.135,40,1025,,BM36240
FM05240J04,Fem AD.HRCTurmeric 40gmJar CP Gulabari 30ml,96,BM052,0,1,Domestic,HRC jar,0.135,40,1025,,BM05240
FM05740J04,Fem AD.HRC Rose 40g JarCP Gulabari 30ml,96,BM057,0,1,Domestic,HRC jar,0.135,40,1025,,BM05740
FM36040J04,Fem AD.HRCTurmeric 40gmJar CP Gulabari 30ml,96,BM360,0,1,Domestic,HRC jar,0.135,40,1025,,BM36040
FM36240J04,Fem AD.HRCGold 40gmJar CP Gulabari 30ml,96,BM362,0,1,Domestic,HRC jar,0.135,40,1025,,BM36240
FM052040,Fem Antidarkening HRC Sandal  40gm Tube,96,BM052,0,1,Domestic,HRC tube,0.09,40,1025,,BM05240
FM057040,Fem Antidarkening  HRC Rose  40gm Tube,96,BM057,0,1,Domestic,HRC tube,0.09,40,1025,,BM05740
FM360040,Fem Antidarkening HRC Turmeric 40gm Tube,96,BM360,0,1,Domestic,HRC tube,0.09,40,1025,,BM36040
FM362040,Fem Antidarkening HRC Gold  40gm Tube,96,BM362,0,1,Domestic,HRC tube,0.09,40,1025,,BM36240
FI046001,Pdr Activator-1g-Naturals Saffron-FB-8g,144,BI046,0,0,Domestic,Activator Line,,8,1025,,BI0468
FI038001,Activator Pdr-1g-OxyLife NR 5CR-9g,144,BI038A,0,0,Domestic,Activator Line,,9,1025,,BI038A9
FI038003,Activator Pdr-3g-OxyLife NR 5CR-27g,72,BI038A,0,0,Domestic,Activator Line,,27,1025,,BI038A27
FI03800101,Post Bleech Serum-1g-OxyLife NR 5CR-9g,72,BI038B,0,0,Domestic,Bleach Pouch Line,,27,1025,,BI038B27
FB43202401EX,Freshmint PrmTP 24g-0.85OZ-ADA85-TopSeal,144,BB551,1,0,Pvt Label,Toothpaste Line,0.034,24,1024,,BB55124
FI049005GC,pH Balanacing Skin Care Lotion - 5g - GC,1,BI049A,0,0,IBD,Bleach Pouch Line,,5,1025,,BI049A5
FI051005,pH Restoring Lotion - 5g- FHRC 40g,1,BI051,0,0,Domestic,Bleach Pouch Line,,40,1025,,BI05140
FI052005,FEMANTI DARKENINGPOST H REMOVAL MOIST-5g- 25g,1,BI052,0,0,Domestic,Bleach Pouch Line,,5,1025,,BI0525
FI053005TU,pH Balancing Skincare Lotion5g–Turkey Ex - 120g,1,BI049A,0,0,IBD,Bleach Pouch Line,,120,1025,,BI049A120
FI360005,FEM AD HRC Restoring Trmc Lotion - 5g,1,BI360,0,0,Domestic,Bleach Pouch Line,,5,1025,,BI3605
FI362005,FEM AD HRC Restoring Gold Gel -5g,1,BI362,0,0,Domestic,Bleach Pouch Line,,5,1025,,BI3625
FB23003501,Meswak Toothpaste 35gm Without Dangler,216,BB230,1,1,Domestic,Toothpaste Line,0.05,35,1024,,BB23035
FG15205000SL,Odonil 50gmLAVfreewith Sanifresh500ml-SL,24,BB152,0,1,IBD,Odonil line,0.053,50,1025,,BB15250
FB24312502UR,Promise cavity protectionTpst125+20g-UA,72,BB243,1,1,IBD,Toothpaste Line,0.198,145,1024,,BB243145
FB24710000UR,Promise Toothpaste (B.Soda)100gm-Ukraine,72,BB247,1,1,IBD,Toothpaste Line,0.12,100,1024,,BB247100
FC22315006GC,Dabur Herbal T.Paste Clove150 Gm+TB-CP,48,BC223,1,1,IBD,Toothpaste Line,0.24,150,1024,,BC223150
FB22901700EX,Miswak TPST- Fresh Gel 17gm,432,BB229,1,1,IBD,Toothpaste Line,0.02,17,1024,,BB22917
FB25602000GC,Miswak Herbal Tooth Paste 20gm,432,BB256,1,0,IBD,Toothpaste Line,0.024,20,1024,,BB25620
FG22603502,Dabur Meswak 35gm free with VHO 75ml,216,BB226,1,1,Domestic,Toothpaste Line,0.049,35,1024,,BB22635
FI046003,Pdr Activator-3g-Naturals Saffron-FB-24g,1,BI046,0,0,Domestic,Activator Line,,3,1025,,BI0463
FB24910000UR,PromiseToothpaste(Tar.Cont)100gm-Ukraine,72,BB249,1,1,IBD,Toothpaste Line,0.12,100,1024,,BB249100
FB24610000UR,Promise Toothpaste(Whiting)100gm-Ukraine,72,BB246,1,1,IBD,Toothpaste Line,0.12,100,1024,,BB246100
FB43208501EX,Freshmint Pre AC TP 85G-3OZ ADA-24 PCS,24,BB551,1,0,Pvt Label,Toothpaste Line,0.104,85,1024,,BB55185
FC22701700EX,New Dabur Herb'l TPST - Green Gel 17 gm,432,BC227,1,1,IBD,Toothpaste Line,0.02,17,1024,,BC22717
FB04006000AF,Adv.Odomos Mosquito Replt.Lotion 60ml-AF,96,BB040,1,0,IBD,Odomos Lotion line,0.099,58.198,1025,,BB04058.198
FB04012000AF,Adv.Odomos MosquitoReplt.Lotion 120ml-AF,48,BB040,1,0,IBD,Odomos Lotion line,0.199,116.396,1025,,BB040116.396
FB04106000AF,Odomos Naturals Lotion 60ml - Africa,96,BB041,1,0,IBD,Odomos Lotion line,0.083,58.198,1025,,BB04158.198
FB04112000AF,Odomos Naturals Lotion 120ml - Africa,48,BB041,1,0,IBD,Odomos Lotion line,0.163,116.396,1025,,BB041116.396
FB04508000AF,Odomos Mosquito Replt Gel 80gm-AF,48,BB045,1,1,IBD,Odomos line,0.099,80,1025,,BB04580
FB04608000AF,Odomos Naturals Gel 80gm - Africa,48,BB046,1,1,IBD,Odomos line,0.107,80,1025,,BB04680
FB05202500AF,Odomos Naturals Cream 25gm - Africa,144,BB052,1,1,IBD,Odomos line,0.036,25,1025,,BB05225
FB05205000AF,Odomos Naturals Cream 50gm - Africa,96,BB052,1,1,IBD,Odomos line,0.059,50,1025,,BB05250
FB21204000SS,Dabur Promise Red gel 40 gm - SSA,144,BB212A,1,1,IBD,Toothpaste Line,0.06,40,1024,,BB212A40
FB21210000SS,Dabur Promise Red Gel 100 gm- SSA,72,BB212A,1,1,IBD,Toothpaste Line,0.12,100,1024,,BB212A100
FB24304000SS,Dabur Promise Toothpaste 40 gm- SSA-N,144,BB243,1,1,IBD,Toothpaste Line,0.06,40,1024,,BB24340
FB24310000SS,Dabur Promise Toothpaste 100 gm- SSA-N,72,BB243,1,1,IBD,Toothpaste Line,0.12,100,1024,,BB243100
FB29907801EX,Maximum Security Gel TPST 2.75 OZ 78gm,144,BB299,1,0,Pvt Label,Toothpaste Line,0.097,78,1024,,BB29978
FB83507501EX,Forhans Smalto TP 75 ML- 12’s Inner Pack,72,BB835,1,1,Pvt Label,Toothpaste Line,0.15,100,1024,,BB835100
FB83507502EX,ForhansSmalto75ml+ForhansSmalto12.5ml TP,48,BB835,1,1,Pvt Label,Toothpaste Line,0.188,116.38,1024,,BB835116.38
FB51411700EX,Auromere TPST-Freshmint-117g-ORG NEEM,144,BB514,1,1,Pvt Label,Toothpaste Line,0.156,117,1024,,BB514117
FB51211700EX,Auromere TPST-Mintfree-117g-ORG NEEM,144,BB512,1,1,Pvt Label,Toothpaste Line,0.156,117,1024,,BB512117
FB51111700EX,Auromere TPST-Licorice-117g-ORG NEEM,144,BB511,1,1,Pvt Label,Toothpaste Line,0.156,117,1024,,BB511117
FB84711900EX,Shopkins BubbleGum Gel TPST-4.2 OZ(119g),24,BB847,1,0,Pvt Label,Toothpaste Line,0.162,119,1024,,BB847119
FB21210000RU,Dabur Promise Red Gel 100 gm- RU,72,BB212A,1,1,IBD,Toothpaste Line,0.12,100,1024,,BB212A100
FB25010000EX,PROMISE TPASTE  (for SMOKERS)  100,72,BB250,1,1,IBD,Toothpaste Line,0.12,100,1024,,BB250100
FB43200800EX,Freshmint Premium AC TPST 8G-0.28OZ-ADA,1000,BB551,1,0,Pvt Label,Toothpaste Pouch line,0.01,8,1024,,BB5518
FB24001700EX,Amerfresh Fluoride Toothpaste 17G -0.6OZ,720,BB240,1,0,Pvt Label,Toothpaste Line,0.023,17,1024,,BB24017
FB24002400EX,AMERFRESH FLUORIDE TOOTHPASTE 24 G,720,BB240,1,0,Pvt Label,Toothpaste Line,0.03,24,1024,,BB24024
FB51140K00EX,Auromere TP-Licorice-40kg DRUM-ORG NEEM,1,BB511,1,0,Pvt Label,Toothpaste Line,42.2,40000,1024,,BB51140000
FB51240K00EX,Auromere TP-Mintfree-40kg DRUM-ORG NEEM,1,BB512,1,0,Pvt Label,Toothpaste Line,42.2,40000,1024,,BB51240000
FB33147300EX,Auromere Mouthwash 473ml (16OZ) - Bottle,36,BB331,1,0,Pvt Label,Mouthwash line,0.661,511,1024,,BB331511
FB57304300EX,Dynarex Morning Fresh Fl TPST - 43g,144,BB573,1,1,Pvt Label,Toothpaste Line,0.056,43,1024,,BB57343
FB57307800EX,Dynarex Morning Fresh Fl TPST - 78g,144,BB573,1,1,Pvt Label,Toothpaste Line,0.098,78,1024,,BB57378
FB51511700EX,Auromere TPST-Foamfree-117g-ORG NEEM,144,BB515,1,1,Pvt Label,Toothpaste Line,0.156,117,1024,,BB515117
FB51311700EX,Auromere TPST–FoamFreeMint-117g-ORG NEEM,144,BB513,1,1,Pvt Label,Toothpaste Line,0.156,117,1024,,BB513117
FB51540K00EX,Auromere TP- Foamfree-40kg DRUM-ORG NEEM,1,BB515,1,0,Pvt Label,Toothpaste Line,42.2,40000,1024,,BB51540000
FB51340K00EX,Auromere TP–FoamFreeMint-40kg-ORG NEEM,1,BB513,1,0,Pvt Label,Toothpaste Line,42.2,40000,1024,,BB51340000
